MTS793|BTW|ENG|1|0|.|/|:|44|1|1|A

Data Header:                                                Time:     118.19629 Sec       28/01/2022 11:32:30
Data Acquisition: Timed
Station Name: FORTH-1.cfg
Test File Name: Pappas.tst
Ch 1 Displacement Ch 1 Force Time
mm        kN        Sec
0.00041425228 0.00026262132 0.061523438
0.00028312206 -0.00014628749 0.081054688
-2.3841858e-05 0.00022179447 0.10058594
-0.00018775463 -3.2433309e-05 0.12011719
-0.0012874603 -0.00027781352 0.13964844
-0.0017374754 -0.00056049321 0.15917969
-0.0025242567 -0.0003817142 0.17871094
-0.0032424927 -0.00066789798 0.19824219
-0.0040024519 -0.00097714365 0.21777344
-0.0046044588 -0.00065884087 0.23730469
-0.0051945448 -0.00010418007 0.25683594
-0.0054240227 -0.00050460221 0.27636719
-0.0060886145 -0.00021188753 0.29589844
-0.0059217215 -0.00046087662 0.31542969
-0.0076800585 -0.00028503127 0.33496094
-0.0080794096 -0.00039843144 0.35449219
-0.0089973211 -0.000627595 0.37402344
-0.0090271235 -0.00036099227 0.39355469
-0.0099569559 -0.00041240128 0.41308594
-0.010761619 -0.00043512555 0.43261719
-0.011307001 -0.00058911974 0.45214844
-0.011825562 -0.00031890813 0.47167969
-0.01244545 -0.00090985559 0.49121094
-0.013145804 -0.00033526449 0.51074219
-0.01411438 -0.0003248686 0.53027344
-0.015461445 -0.00057842117 0.54980469
-0.01578629 -0.00079609454 0.56933594
-0.016322732 -0.0011766097 0.58886719
-0.016710162 -0.00069658272 0.60839844
-0.01771152 -0.0012753648 0.62792969
-0.017723441 -0.0010628835 0.64746094
-0.018656254 -0.0011879369 0.66699219
-0.018814206 -0.0012540491 0.68652344
-0.020164251 -0.00061738538 0.70605469
-0.020134449 -0.00092333648 0.72558594
-0.021380186 -0.00085859792 0.74511719
-0.022244453 -0.0011557713 0.76464844
-0.022113323 -0.00067240326 0.78417969
-0.023117661 -0.001351512 0.80371094
-0.023436546 -0.0013732351 0.82324219
-0.023806095 -0.0010976102 0.84277344
-0.024706125 -0.00094026327 0.86230469
-0.025933981 -0.0012782286 0.88183594
-0.025850534 -0.0008096802 0.90136719
-0.027254224 -0.0011906144 0.92089844
-0.027951598 -0.00087387161 0.94042969
-0.028333068 -0.001182151 0.95996094
-0.028654933 -0.00057081925 0.97949219
-0.029700994 -0.001294422 0.99902344
-0.030308962 -0.0010726042 1.0185547
-0.030985475 -0.0011709635 1.0380859
-0.031366944 -0.0013347133 1.0576172
-0.032091141 -0.0011576223 1.0771484
-0.033065677 -0.0014479971 1.0966797
-0.033482909 -0.0016534352 1.1162109
-0.03439486 -0.0010701013 1.1357422
-0.034791231 -0.0010435702 1.1552734
-0.035727024 -0.001490768 1.1748047
-0.036051869 -0.001628173 1.1943359
-0.03670454 -0.0011157594 1.2138672
-0.037568808 -0.0014264951 1.2333984
-0.038361549 -0.0016315957 1.2529297
-0.03823936 -0.0013579964 1.2724609
-0.039756298 -0.0015623285 1.2919922
-0.039127469 -0.0015799538 1.3115234
-0.040215254 -0.001781981 1.3310547
-0.041747093 -0.002080691 1.3505859
-0.041794777 -0.0019259052 1.3701172
-0.042790174 -0.001909968 1.3896484
-0.043383241 -0.0015266356 1.4091797
-0.04362464 -0.0018397346 1.4287109
-0.043869019 -0.0015659258 1.4482422
-0.045531988 -0.0019372092 1.4677734
-0.045892596 -0.0014672056 1.4873047
-0.047156215 -0.0017613056 1.5068359
-0.047633052 -0.0022546737 1.5263672
-0.048324466 -0.0019829138 1.5458984
-0.048726797 -0.0019358471 1.5654297
-0.04940331 -0.0023768633 1.5849609
-0.049993396 -0.0017600949 1.6044922
-0.051066279 -0.0018090825 1.6240234
-0.05145967 -0.0019700732 1.6435547
-0.052371621 -0.0021068729 1.6630859
-0.051623583 -0.0016829814 1.6826172
-0.053626299 -0.0014624675 1.7021484
-0.053691864 -0.0016967999 1.7216797
-0.054961443 -0.0019564526 1.7412109
-0.055611134 -0.0022443361 1.7607422
-0.056278706 -0.0023550703 1.7802734
-0.057050586 -0.0022544293 1.7998047
-0.056910515 -0.0021226122 1.8193359
-0.058177114 -0.0022980268 1.8388672
-0.059217215 -0.002127781 1.8583984
-0.059309602 -0.0025053043 1.8779297
-0.060617924 -0.0022104126 1.8974609
-0.060996413 -0.0021909364 1.9169922
-0.061562657 -0.0022542547 1.9365234
-0.062155724 -0.0024400186 1.9560547
-0.062185526 -0.0024319859 1.9755859
-0.062987208 -0.0026309746 1.9951172
-0.063797832 -0.0028647133 2.0146484
-0.06441772 -0.0029759947 2.0341797
-0.065165758 -0.0027173664 2.0537109
-0.066360831 -0.0029870775 2.0732422
-0.066462159 -0.0024087029 2.0927734
-0.067707896 -0.0023734407 2.1123047
-0.068727136 -0.0020983047 2.1318359
-0.068596005 -0.0027498114 2.1513672
-0.069499016 -0.002343778 2.1708984
-0.069782138 -0.0025173067 2.1904297
-0.070399046 -0.0030025025 2.2099609
-0.071161985 -0.0024079927 2.2294922
-0.072029233 -0.0029434799 2.2490234
-0.072154403 -0.0027938862 2.2685547
-0.073084235 -0.0030104304 2.2880859
-0.073343515 -0.0028358656 2.3076172
-0.073969364 -0.0030739233 2.3271484
-0.075176358 -0.0028286362 2.3466797
-0.075542927 -0.0025486341 2.3662109
-0.0762254 -0.00299901 2.3857422
-0.076788664 -0.0028818031 2.4052734
-0.077208877 -0.003024051 2.4248047
-0.078222156 -0.0029467279 2.4443359
-0.078713894 -0.0028255396 2.4638672
-0.079205632 -0.0029938761 2.4833984
-0.079223514 -0.0034135184 2.5029297
-0.080704689 -0.0035999226 2.5224609
-0.080710649 -0.0034379889 2.5419922
-0.081893802 -0.0033522374 2.5615234
