MTS793|BTW|ENG|1|0|.|/|:|44|1|1|A

Data Header:                                                Time:     141.99316 Sec       28/01/2022 11:36:41
Data Acquisition: Timed
Station Name: FORTH-1.cfg
Test File Name: Pappas.tst
Ch 1 Displacement Ch 1 Force Time
mm        kN        Sec
0.00048279762 3.7427526e-05 0.053710938
-2.9802322e-06 0.00028641662 0.073242188
-0.00027418137 0.00036234269 0.092773438
-0.00027120113 0.00064633787 0.11230469
-0.00056028366 0.0010462711 0.13183594
-0.0015854836 0.00073291594 0.15136719
-0.0027865171 0.00047318172 0.17089844
-0.0027686357 0.00076557044 0.19042969
-0.0036925077 0.0004561618 0.20996094
-0.0037252903 0.00046892092 0.22949219
-0.004824996 0.0004504458 0.24902344
-0.0046223402 0.00028942013 0.26855469
-0.0057607889 -0.00022132881 0.28808594
-0.006467104 0.00022019958 0.30761719
-0.0075310469 1.861481e-05 0.32714844
-0.0075638294 0.00050385715 0.34667969
-0.0086903572 0.00029044459 0.36621094
-0.0097811222 0.00039371662 0.38574219
-0.0099986792 0.00035330886 0.40527344
-0.010460615 0.0004118192 0.42480469
-0.011602044 0.00029625371 0.44433594
-0.011757016 0.00047006179 0.46386719
-0.01257062 0.00037261052 0.48339844
-0.012943149 0.00022649765 0.50292969
-0.014385581 -2.2468157e-06 0.52246094
-0.014168024 8.5390639e-05 0.54199219
-0.015956163 9.4179995e-05 0.56152344
-0.015681982 0.00030394876 0.58105469
-0.016924739 0.00011749798 0.60058594
-0.01834631 0.00042362371 0.62011719
-0.018507242 0.00013972167 0.63964844
-0.019019842 0.00070881797 0.65917969
-0.019490719 -0.00029491493 0.67871094
-0.020718575 0.00039911829 0.69824219
-0.020566583 0.00035695266 0.71777344
-0.021311641 -6.8498775e-05 0.73730469
-0.021892786 4.1024759e-05 0.75683594
-0.022768974 0.00011053635 0.77636719
-0.023379922 0.00060902676 0.79589844
-0.024369359 0.00026943162 0.81542969
-0.025004148 -0.00014370307 0.83496094
-0.025773048 -2.4191104e-05 0.85449219
-0.025802851 -1.686858e-05 0.87402344
-0.026801229 0.0002871966 0.89355469
-0.02707839 -0.00014090911 0.91308594
-0.028285384 -0.00022966415 0.93261719
-0.028589368 -0.0004993286 0.95214844
-0.028833747 -0.00039604492 0.97167969
-0.030136108 -6.8417285e-05 0.99121094
-0.030362606 -0.00039020088 1.0107422
-0.031396747 -2.1909364e-05 1.0302734
-0.031769276 8.5600186e-05 1.0498047
-0.033023953 -0.0001405715 1.0693359
-0.033527613 0.00057511497 1.0888672
-0.034028292 -1.7415732e-05 1.1083984
-0.034305453 0.0004369067 1.1279297
-0.035458803 -7.6659489e-05 1.1474609
-0.035849214 -0.00035532285 1.1669922
-0.036674738 3.837049e-05 1.1865234
-0.037431717 -0.0003322144 1.2060547
-0.037911534 -0.00076099532 1.2255859
-0.038447976 -8.2165934e-05 1.2451172
-0.038468838 -0.00025731279 1.2646484
-0.039434433 -0.00021269079 1.2841797
-0.040221214 -0.00034351833 1.3037109
-0.041127205 -0.00043405453 1.3232422
-0.041610003 -0.00035068952 1.3427734
-0.04285574 -0.00023816247 1.3623047
-0.043365359 -0.00040199375 1.3818359
-0.043535233 -0.00062385807 1.4013672
-0.044110417 -0.000406045 1.4208984
-0.045579672 -0.00058605801 1.4404297
-0.046148896 -0.00026728958 1.4599609
-0.046479702 -4.703179e-06 1.4794922
-0.047275424 0.00013321405 1.4990234
-0.04812777 0.00021469314 1.5185547
-0.049307942 -0.00019574072 1.5380859
-0.049430132 -0.00050211092 1.5576172
-0.049689412 -0.00038195867 1.5771484
-0.050595403 -0.00038422877 1.5966797
-0.051254034 -0.00033503165 1.6162109
-0.051578879 -0.00032443786 1.6357422
-0.052440166 -0.0002118526 1.6552734
-0.052580237 -0.00039683655 1.6748047
-0.054007769 -0.00046786154 1.6943359
-0.054234266 -0.00029497314 1.7138672
-0.055196881 -0.00052941032 1.7333984
-0.055426359 -0.00028109644 1.7529297
-0.055846572 -0.00059194863 1.7724609
-0.056669116 -0.0005618087 1.7919922
-0.057452917 -0.00055672135 1.8115234
-0.057885051 -0.00091170659 1.8310547
-0.058755279 -0.00099886674 1.8505859
-0.060400367 -0.0010796357 1.8701172
-0.060886145 -0.00078884186 1.8896484
-0.060334802 -0.00075949356 1.9091797
-0.061520934 -0.00061567407 1.9287109
-0.062087178 -0.00063163461 1.9482422
-0.062373281 -0.00063237967 1.9677734
-0.063505769 -0.0007727067 1.9873047
-0.063940883 -0.00060598832 2.0068359
-0.064602494 -0.00087298686 2.0263672
-0.065338612 -0.0010908931 2.0458984
-0.065997243 -0.00092891278 2.0654297
-0.06724596 -0.0008950592 2.0849609
-0.06737709 -0.00084888889 2.1044922
-0.068056583 -0.0006958493 2.1240234
-0.068122149 -0.0012988923 2.1435547
-0.069382787 -0.0013202312 2.1630859
-0.070285797 -0.00076838769 2.1826172
-0.070241094 -0.00086448854 2.2021484
-0.071379542 -0.0010275398 2.2216797
-0.072610378 -0.0009754207 2.2412109
-0.072798133 -0.0014057267 2.2607422
-0.073677301 -0.0016525504 2.2802734
-0.074362755 -0.0015017809 2.2998047
-0.074678659 -0.0016424921 2.3193359
-0.075221062 -0.0014331192 2.3388672
-0.075352192 -0.0014365069 2.3583984
-0.076618791 -0.0014305464 2.3779297
-0.076973438 -0.0013185665 2.3974609
-0.07814765 -0.0011185184 2.4169922
-0.077664852 -0.0012999866 2.4365234
-0.078758597 -0.0015531201 2.4560547
-0.079661608 -0.0013853656 2.4755859
-0.080341101 -0.001639023 2.4951172
-0.081774592 -0.0018562889 2.5146484
-0.081780553 -0.0016175676 2.5341797
-0.081896782 -0.0020682928 2.5537109
